BNO080data:system time,channal,collection time,accelerometer X,accelerometer Y,accelerometer Z,gyro X,gyro Y,gyro Z,magnetometer X,magnetometer Y,magnetometer Z,AccuracyLevel,QuatI,QuatJ,QuatK,QuatReal
BNO055data:SystemTime,Channal,Collectiontime,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,MagnetometerX,MagnetometerY,MagnetometerZ,EulerX,EulerY,EulerZ,LineAraccelX,LineAraccelY,LineAraccelZ,GravityX,GravityY,GravityZ,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,OrientationX,OrientationY,OrientationZ)
20190207151423792,2,1363072,-7.94,-3.52,4.31,-0.02,-0.00,-0.01,5.38,57.31,12.44,Medium,-0.26,0.47,0.07,0.84,
20190207151423826,3,1363110,-2.04,8.32,-4.94,-0.04,-0.02,0.04,12.38,-44.69,-25.06,Medium,0.78,0.31,0.14,0.52,
20190207151423860,4,1363142,-8.96,-1.72,3.03,0.01,0.02,-0.02,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151423892,1,1363161,7.64,-4.07,4.96,0.00,-0.03,-0.03,-48.38,-26.06,-0.13,Medium,-0.48,0.02,-0.79,0.39,
20190207151423925,2,1363191,-7.86,-3.48,4.43,-0.02,-0.00,-0.01,5.38,57.31,12.44,Medium,-0.26,0.47,0.07,0.84,
20190207151423925,3,1363201,-2.04,8.32,-4.94,-0.12,-0.43,0.17,12.38,-44.69,-25.06,Medium,0.78,0.31,0.14,0.52,
20190207151423957,4,1363218,-8.96,-1.72,3.03,-0.00,0.02,-0.02,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151423993,1,1363251,7.68,-4.61,4.19,0.00,-0.03,-0.03,-48.38,-26.06,-0.13,Medium,-0.48,0.02,-0.79,0.39,
20190207151423993,2,1363271,-7.82,-3.37,4.27,-0.02,-0.00,-0.01,5.38,57.31,12.44,Medium,-0.26,0.47,0.07,0.84,
20190207151423027,3,1363309,-2.16,8.44,-4.36,-0.12,-0.43,0.17,12.38,-44.69,-25.06,Medium,0.78,0.31,0.14,0.52,
20190207151423060,4,1363342,-8.96,-1.72,3.03,-0.01,-0.07,-0.03,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151423092,1,1363359,6.73,-5.68,4.57,0.00,-0.03,-0.03,-48.38,-26.06,-0.13,Medium,-0.48,0.02,-0.79,0.39,
20190207151423126,2,1363392,-7.82,-3.37,4.27,-0.02,-0.00,-0.01,5.50,56.25,11.13,Medium,-0.26,0.47,0.07,0.84,
20190207151423127,3,1363401,-1.54,8.44,-3.60,-0.12,-0.43,0.17,12.38,-44.69,-25.06,Medium,0.78,0.31,0.14,0.52,
20190207151423160,4,1363420,-8.89,-1.76,3.03,-0.01,-0.07,-0.03,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151423193,1,1363453,6.30,-5.64,4.27,0.00,-0.03,-0.03,-48.38,-26.06,-0.13,Medium,-0.48,0.02,-0.79,0.39,
20190207151423193,2,1363474,-7.90,-3.68,4.58,-0.02,-0.00,-0.01,5.50,56.25,11.13,Medium,-0.26,0.47,0.07,0.84,
20190207151423226,3,1363513,-2.12,8.67,-3.60,-0.12,-0.43,0.17,12.38,-44.69,-25.06,Medium,0.78,0.31,0.14,0.52,
20190207151423260,4,1363544,-8.89,-1.76,3.03,0.11,0.01,-0.04,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151423293,1,1363562,6.30,-5.64,4.27,-0.18,0.12,-0.10,-48.38,-26.06,-0.13,Medium,-0.48,0.02,-0.79,0.39,
20190207151424326,2,1363593,-7.90,-3.52,4.31,-0.02,-0.00,-0.01,5.50,56.25,11.13,Medium,-0.26,0.47,0.07,0.84,
20190207151424326,3,1363603,-2.35,8.82,-3.86,-0.12,-0.43,0.17,12.38,-44.69,-25.06,Medium,0.78,0.31,0.14,0.52,
20190207151424360,4,1363620,-8.89,-1.76,2.99,0.11,0.01,-0.04,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424391,1,1363653,6.30,-5.64,4.27,-0.18,0.12,-0.10,-46.69,-29.19,-11.00,Medium,-0.48,0.02,-0.79,0.39,
20190207151424391,2,1363672,-7.90,-3.52,4.31,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424422,3,1363711,-2.35,8.82,-3.86,-0.12,-0.43,0.17,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424460,4,1363743,-8.89,-1.76,2.99,0.12,-0.04,-0.04,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424490,1,1363762,6.69,-5.72,4.15,-0.18,0.12,-0.10,-46.69,-29.19,-11.00,Medium,-0.48,0.02,-0.79,0.39,
20190207151424523,2,1363793,-7.82,-3.52,4.08,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424523,3,1363804,-2.35,8.82,-3.86,0.07,-0.04,0.12,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424559,4,1363821,-8.89,-1.76,2.99,0.08,-0.04,-0.03,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424593,1,1363853,6.69,-5.76,3.96,-0.18,0.12,-0.10,-46.69,-29.19,-11.00,Medium,-0.48,0.02,-0.79,0.39,
20190207151424594,2,1363873,-7.82,-3.75,4.43,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424627,3,1363911,-2.00,8.71,-4.06,0.07,-0.04,0.12,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424660,4,1363943,-8.77,-1.76,3.22,0.08,-0.04,-0.03,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424693,1,1363961,6.69,-5.95,3.77,-0.18,0.12,-0.10,-46.69,-29.19,-11.00,Medium,-0.48,0.02,-0.79,0.39,
20190207151424726,2,1363990,-7.82,-3.56,4.27,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424726,3,1364002,-1.89,8.71,-4.13,0.07,-0.04,0.12,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424759,4,1364019,-8.77,-1.76,3.22,-0.02,0.03,-0.03,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424791,1,1364053,6.84,-5.99,3.81,-0.18,0.12,-0.10,-46.69,-29.19,-11.00,Medium,-0.48,0.02,-0.79,0.39,
20190207151424791,2,1364073,-7.86,-3.60,4.31,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424825,3,1364111,-1.77,8.82,-4.21,0.07,-0.04,0.12,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424859,4,1364142,-8.77,-1.76,3.22,-0.02,0.04,-0.03,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424893,1,1364160,6.50,-6.18,3.81,-0.18,0.12,-0.10,-46.69,-29.19,-11.00,Medium,-0.48,0.02,-0.79,0.39,
20190207151424926,2,1364192,-7.71,-3.71,4.35,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424926,3,1364202,-1.77,8.82,-4.21,-0.02,0.36,0.01,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424960,4,1364220,-8.85,-2.03,3.03,-0.02,0.04,-0.03,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424960,1,1364253,6.50,-6.18,3.81,-0.18,0.12,-0.10,-44.50,-26.75,-16.75,Medium,-0.48,0.02,-0.79,0.39,
20190207151424992,2,1364273,-7.59,-3.98,4.54,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424026,3,1364313,-1.96,8.90,-4.09,-0.02,0.36,0.01,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424058,4,1364345,-8.85,-2.03,3.03,0.08,0.03,-0.07,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424093,1,1364362,6.50,-6.18,3.81,-0.18,0.10,-0.05,-44.50,-26.75,-16.75,Medium,-0.48,0.02,-0.79,0.39,
20190207151424125,2,1364393,-7.75,-3.98,4.35,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
20190207151424125,3,1364405,-1.96,8.90,-4.09,-0.18,0.04,-0.03,12.38,-44.69,-25.06,Medium,0.83,0.06,-0.10,0.54,
20190207151424159,4,1364422,-8.85,-2.03,3.03,0.08,0.01,-0.06,44.38,21.56,23.75,Low,-0.07,0.58,-0.08,0.81,
20190207151424192,1,1364454,6.23,-6.53,3.65,-0.18,0.10,-0.05,-44.50,-26.75,-16.75,Medium,-0.48,0.02,-0.79,0.39,
20190207151424193,2,1364474,-7.79,-3.91,4.12,-0.02,-0.00,-0.01,4.69,57.06,10.75,Medium,-0.26,0.47,0.07,0.84,
